psc;ZUJ;ZUJ_pravdepodobnost
97248;514349;0.24010439321444105
97248;514004;0.46628969117007396
97247;514292;1.0
97246;513946;1.0
97245;513911;1.0
97244;514063;1.0
97243;514454;1.0
97242;514306;0.05812807881773399
97242;514136;0.7517241379310344
97241;514110;1.0
97232;514021;0.7118730808597749
97232;557706;0.2881269191402252
97231;514357;0.0674457976079952
97231;557714;0.030910381737753262
97231;513997;0.8846594942930479
97229;513938;0.6971428571428572
97229;514403;0.3028571428571429
97228;514420;1.0
97227;514217;0.14538498326159732
97227;514144;0.5758010521281683
97226;514101;0.13672922252010725
97226;514365;0.19731903485254693
97226;514381;0.10563002680965147
97226;514233;0.5160857908847185
97226;513971;0.04423592493297587
97225;513962;1.0
97224;513954;1.0
97223;513989;1.0
97222;514012;0.34732192159028163
97222;514250;0.6526780784097184
97221;514241;1.0
97217;514071;1.0
97216;514331;0.7092391304347826
97216;514314;0.2907608695652174
97215;514080;1.0
97214;514411;1.0
97213;514225;0.7649334945586457
97213;514187;0.2350665054413543
97212;514209;1.0
97211;514128;0.5278369333738971
97211;514322;0.4186188013386066
97205;514373;1.0
97202;514284;0.7479518072289156
97202;514098;0.2520481927710843
97201;514390;0.08188860199188491
97201;513903;0.918111398008115
97101;514179;0.014713930871889866
97101;513920;0.026754515219130214
97101;513881;0.9476066181113965
97101;514438;0.010924935797583463
90606;514039;0.08021213125621478
02072;513407;1.0
02071;557447;1.0
02064;500348;1.0
02063;513318;1.0
02062;513121;0.35517970401691334
02062;557501;0.27610993657505284
02061;557692;0.09227114927827516
02061;513326;0.7242828430476886
02061;512958;0.18344600767403618
02055;513300;1.0
02054;513342;1.0
02053;513334;0.7567567567567568
02053;557498;0.24324324324324326
02052;513377;0.4265905383360522
02052;513814;0.5734094616639478
02051;512940;1.0
02001;513610;0.8858692896618161
02001;557471;0.053034528215788676
02001;557439;0.061096182122395176
01861;513776;0.1361278564418898
01861;512851;0.8638721435581102
91451;506613;1.0
91443;506354;0.7044095665171899
91443;505935;0.29559043348281017
91442;506036;1.0
91441;506281;1.0
91401;506559;1.0
91338;506508;1.0
91336;506478;1.0
91333;505943;0.4809748427672956
91333;506010;0.5190251572327044
91332;505943;0.8775100401606426
91332;506044;0.12248995983935743
91331;546682;1.0
91326;506273;0.38146341463414635
91326;581348;0.09707317073170732
91326;506290;0.38195121951219513
91325;505854;1.0
91324;506532;0.5700465782873522
91324;506648;0.2762450734503762
91324;506028;0.1537083482622716
91323;505978;1.0
91322;506591;0.6140264835703776
91322;506605;0.38597351642962235
91321;506231;0.2552257525083612
91321;506567;0.7447742474916388
91311;506656;0.1446669391091132
91311;545741;0.6953412341642828
91311;506168;0.07315079689415611
91311;506371;0.08684102983244789
91305;505838;0.21915054033676803
91305;545686;0.41492837396330734
91305;506541;0.10655943704448353
91305;506095;0.2593616486554411
91304;506087;0.7103939647946353
91304;506133;0.28960603520536465
91303;505960;1.0
91108;505820;1.0
91106;505820;1.0
91105;505820;0.9791961075434235
91105;556475;0.02080389245657657
91101;505820;1.0
